ProvinceKey,ProvinceName,ProvinceNameEng,AmphurKey,AmphurName,AmphurNameEng,RegionKey,Region,Year,PopulationDensity,Source
11,สมุทรปราการ         ,Samut Prakarn       ,1101,เมืองสมุทรปราการ              ,NULL,3,ภาคกลาง,2557,2760.34,กรมการปกครอง  กระทรวงมหาดไทย
11,สมุทรปราการ         ,Samut Prakarn       ,1102,บางบ่อ                        ,NULL,3,ภาคกลาง,2557,420.89,กรมการปกครอง  กระทรวงมหาดไทย
11,สมุทรปราการ         ,Samut Prakarn       ,1103,บางพลี                        ,NULL,3,ภาคกลาง,2557,941.85,กรมการปกครอง  กระทรวงมหาดไทย
11,สมุทรปราการ         ,Samut Prakarn       ,1104,พระประแดง                     ,NULL,3,ภาคกลาง,2557,2725.98,กรมการปกครอง  กระทรวงมหาดไทย
11,สมุทรปราการ         ,Samut Prakarn       ,1105,พระสมุทรเจดีย์                ,NULL,3,ภาคกลาง,2557,1064.96,กรมการปกครอง  กระทรวงมหาดไทย
11,สมุทรปราการ         ,Samut Prakarn       ,1106,บางเสาธง                      ,NULL,3,ภาคกลาง,2557,569.27,กรมการปกครอง  กระทรวงมหาดไทย
11,สมุทรปราการ         ,Samut Prakarn       ,1101,เมืองสมุทรปราการ              ,NULL,3,ภาคกลาง,2560,535.13,กรมการปกครอง  กระทรวงมหาดไทย
11,สมุทรปราการ         ,Samut Prakarn       ,1102,บางบ่อ                        ,NULL,3,ภาคกลาง,2560,107.47,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1901,เมืองสระบุรี                  ,Mueang Saraburi               ,3,ภาคกลาง,2557,392.2,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1902,แก่งคอย                       ,Kaeng Khoi                    ,3,ภาคกลาง,2557,122.5,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1903,หนองแค                        ,Nong Khae                     ,3,ภาคกลาง,2557,348.5,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1904,วิหารแดง                      ,Wihan Daeng                   ,3,ภาคกลาง,2557,187.5,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1905,หนองแซง                       ,Nong Saeng                    ,3,ภาคกลาง,2557,181.3,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1906,บ้านหมอ                       ,Ban Mo                        ,3,ภาคกลาง,2557,210,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1907,ดอนพุด                        ,Don Phut                      ,3,ภาคกลาง,2557,115,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1908,หนองโดน                       ,Nong Don                      ,3,ภาคกลาง,2557,161.2,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1909,พระพุทธบาท                    ,Phra Phutthabat               ,3,ภาคกลาง,2557,223.9,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1910,เสาไห้                        ,Sao Hai                       ,3,ภาคกลาง,2557,297.9,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1911,มวกเหล็ก                      ,Muak Lek                      ,3,ภาคกลาง,2557,80.7,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1912,วังม่วง                       ,Wang Muang                    ,3,ภาคกลาง,2557,57.8,กรมการปกครอง  กระทรวงมหาดไทย
