ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2557,0,0,0,0,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2557,16881.31,6.23,6.8,10.48,41.71
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2557,55879.07,16.8,27.2,45.3,5.73
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2557,92293.41,39.79,47.69,39.12,52.56
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2557,29805.78,21.6,12.07,3.21,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2557,16852.69,14.03,5.4,1.17,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2557,2294.75,1.61,0.79,0.67,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2557,0,0,0,0,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2557,0,0,0,0,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,636.45,0,0.8,0,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,14029.45,3.6,6.6,11.8,5.9
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,52591.26,13.2,30.6,32,37.8
