ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,0.5,0.2,0.9,2,0,,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,0.9,0.3,2.1,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,7.3,3.8,10.6,24.6,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,38.6,33.5,43.8,56.6,100
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,31.1,40.7,18.6,6.3,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,17.7,18,19.2,7,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,2.5,2.5,2.7,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,1.3,0.9,1.7,3.3,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,0.2,0,0.5,0,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,6811.17,1.2,7.2,0,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,7418.45,0.5,3.6,9.5,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,31781.24,10.4,19.2,14.6,5.9
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,84153.59,32,32.9,54.2,74.7
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,48461.85,23.9,22.9,14.2,19.4
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,36363.89,23.3,13,7.6,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,8457.72,7.6,1.2,0,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,1052.09,1.1,0,0,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,0,0,0,0,0,,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,381,0,0.6,0,0,,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,781,0.8,0,0,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,2065,1.4,0,2.4,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,18044,13.1,5.3,3.5,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,30888,20.1,14,1.7,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,73383,39.8,38.6,23.5,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,44712,17.7,25.7,36.3,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,21878,5.4,12.4,30.6,44.4
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,5096,1.7,3.5,1.9,55.6,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,3874.3,0.3,0.8,0,2.8,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,25014.5,6.6,2,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,55853.5,16.7,2.7,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,138602.4,21,22.9,3.7,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,158028.4,21,20.4,19.5,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,231228.3,20,28.3,42.7,57.8
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,112445.3,8.9,14.7,22.3,11.8
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,58519.5,4.1,6.6,11.9,27.7
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,9339.9,1.5,1.6,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,5048.28,1,0.8,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,14603.36,4.7,0.8,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,29388.9,8.5,2.4,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,110613.46,25.3,13.6,1.9,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,125123.89,22,17.5,6.9,24.3
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,252852.02,25.1,36.8,43.7,32.4
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,118601.88,9.5,15.6,27.5,13.4
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,71241.96,3.5,11.8,13.9,30
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,13394.25,0.5,0.7,6.1,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,3075.41,0,1.3,0.4,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,71081.81,6.4,19.1,22.8,21.4
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,150561.23,22.6,33.7,45.3,20.6
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,170410.18,41.1,34.3,24.5,58.1
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,40079,11.9,6.4,5.3,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,31742.13,11.2,4.5,1.4,0
