ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,ExpenditureTypeKey,ExpenditureType,ExpenditureTypeEng,Year,FarmPlantAnimalOwningLand,FarmPlantAnimalRentingLand,FarmFishingForestryHuntingAgri,EntrepreneurNonAgricultureBusiness,ProfessionalTechnicianManager,EmployeeLabourInAgriForestyFishery,EmployeeLabourInLogisticTransportation,EmployeeLabourInClericalSaleServices,EmployeeLabourInProductionConstruction,EconomicInactive,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,2573,0,7426,7943,10884,3783,4902,7714,6964,5750,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,430,0,0,171,293,0,571,293,247,76,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,0,0,0,76,41,1269,0,145,213,38,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,2641,0,3482,8709,12353,2967,2570,3918,3497,6848
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,100,0,334,309,1556,0,129,341,316,421,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,116,0,555,933,1842,650,449,876,741,720,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,240,0,626,151,925,33,77,269,197,174,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,785,0,7094,8341,13813,726,2225,4293,4297,2644,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,18,การศึกษา,Education,2556,0,0,520,579,1602,22,0,269,249,2873,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,243,0,340,542,939,300,57,286,280,369
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,0,0,0,0,0,0,0,0,0,0,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,703,0,222,3762,7955,389,3715,3604,3761,813,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,5105,5547.9,0,8263.8,8570.5,4416,5634.2,7269.6,8492.7,5863.2,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,26.4,62.8,0,58.9,76,145.7,18.9,151.9,216.2,9.5,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,3.6,0,0,54.6,125.4,142.3,326.7,93.9,99.5,20,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,3060.3,4152.8,0,3840.7,4701.2,2488.8,2169.2,3338.3,3417.6,3660.1
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,319.5,99.7,0,433.9,541.1,31.9,58.7,402.9,310.6,292.4,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,494.5,454.3,0,678.4,1074.2,299.6,286.4,734.5,768.2,505,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,61.5,20.6,0,375.4,379.3,25.3,248.9,208.1,229.7,417.4,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,7377.4,3032.4,0,5197.1,12050.7,1232.3,1107.5,5246,7641.4,3138.1,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,18,การศึกษา,Education,2558,74.1,54.6,0,215.9,283.8,73.4,110.5,192.2,363.7,207,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,325.4,436.2,0,270.2,399.1,17.2,144.8,309.6,275.6,337.1
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,599.4,0,0,112.2,0,0,0,4.3,429.3,868.1,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,2617,1241,0,2722.7,5738.7,1086.7,877,2635.1,4515.1,1388.8,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,6134,9178,5526,7361,8941,4856,5735,6804,7304,5185,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,220,497,154,333,297,211,139,403,487,52,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,130,36,33,111,81,127,69,126,95,0,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,4396,3257,2498,4073,5040,2712,2658,3067,3455,5115
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,229,0,65,234,1330,57,267,323,379,203,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,506,433,331,567,998,266,409,512,590,419,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,83,69,65,176,279,48,20,72,94,155,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,4907,7281,1751,4588,10098,2421,2203,4086,6906,2467,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,18,การศึกษา,Education,2556,194,380,49,140,304,269,94,31,87,182,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,250,405,84,315,563,79,94,165,197,278
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,301,0,0,15,12,0,0,4,2,2,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,2640,1848,285,2664,8512,811,1544,2702,4817,1071,
