ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2557,0,0,0,0,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2557,991.69,1.19,0,0,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2557,5587.52,6.72,0,0,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2557,31601.32,30.34,7.28,0,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2557,37818.75,22.69,19.3,5.29,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2557,92547.57,33.55,45.43,58.95,41.71
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2557,33584.66,4.34,20.81,28.68,10.81
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2557,9918.66,1.16,5.84,5.24,47.48
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2557,1956.84,0,1.4,1.84,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0,0,0,0,0,,
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,327.01,0.3,0,0,0
