ProvinceKey,ProvinceName,ProvinceNameEng,AmphurKey,AmphurName,RegionKey,Region,Year,0-4,5-ก.ย.,ต.ค.-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,Over 80,Unknown,non_thai,central_house
11,สมุทรปราการ         ,Samut Prakarn       ,1101,เมืองสมุทรปราการ              ,3,ภาคกลาง,2557,28718,30485,32132,37252,35353,33442,41347,46147,46990,46124,40438,31073,24295,15770,10514,8044,8399,5128,4331,0
11,สมุทรปราการ         ,Samut Prakarn       ,1102,บางบ่อ                        ,3,ภาคกลาง,2557,5961,5850,6351,7367,6968,6725,8300,8963,9150,9301,7630,5091,4219,2830,2292,1870,2158,1390,707,0
11,สมุทรปราการ         ,Samut Prakarn       ,1103,บางพลี                        ,3,ภาคกลาง,2557,14473,13968,14013,16537,15456,14830,19915,21606,21004,19850,16959,11876,8946,5705,3889,2841,2985,1796,3059,0
11,สมุทรปราการ         ,Samut Prakarn       ,1104,พระประแดง                     ,3,ภาคกลาง,2557,10433,11752,12326,14386,13959,13268,15145,15871,15474,15847,15228,12571,10834,7586,4984,3530,3677,1832,1302,0
11,สมุทรปราการ         ,Samut Prakarn       ,1105,พระสมุทรเจดีย์                ,3,ภาคกลาง,2557,7469,7801,7862,8980,8764,8847,11009,11883,11590,11336,9867,7151,5559,3481,2210,1647,1732,539,473,0
11,สมุทรปราการ         ,Samut Prakarn       ,1106,บางเสาธง                      ,3,ภาคกลาง,2557,4902,4685,4573,5284,4780,4893,6907,7747,7698,7146,5403,3385,2362,1518,1015,864,894,328,128,0
11,สมุทรปราการ         ,Samut Prakarn       ,1101,เมืองสมุทรปราการ              ,3,ภาคกลาง,2558,28175,30245,31615,36128,36532,33159,40017,46286,46206,46463,41524,32818,25186,17164,11088,8247,8441,7,6568,0
11,สมุทรปราการ         ,Samut Prakarn       ,1102,บางบ่อ                        ,3,ภาคกลาง,2558,5951,5967,6313,7216,7114,6822,8083,9145,9133,9251,8008,5625,4241,3183,2218,1930,2194,0,1709,0
11,สมุทรปราการ         ,Samut Prakarn       ,1103,บางพลี                        ,3,ภาคกลาง,2558,14839,14230,14144,16045,16312,15255,20050,22701,21261,20308,17692,13051,9478,6320,4064,2943,3124,0,1186,0
11,สมุทรปราการ         ,Samut Prakarn       ,1104,พระประแดง                     ,3,ภาคกลาง,2558,10113,11290,12081,13723,14035,13017,14410,15698,15187,15446,15320,13037,11026,7932,5329,3644,3697,2,2107,0
11,สมุทรปราการ         ,Samut Prakarn       ,1105,พระสมุทรเจดีย์                ,3,ภาคกลาง,2558,7468,7853,7870,9021,9121,9065,11017,12248,11774,11508,10351,7797,5783,3784,2381,1690,1820,0,714,0
11,สมุทรปราการ         ,Samut Prakarn       ,1106,บางเสาธง                      ,3,ภาคกลาง,2558,4887,4712,4551,5130,5038,4916,6683,7856,7632,7378,5755,3759,2476,1641,1044,871,910,0,216,0
11,สมุทรปราการ         ,Samut Prakarn       ,1101,เมืองสมุทรปราการ              ,3,ภาคกลาง,2560,26046,30397,31220,33099,37829,35387,36841,45015,45489,46768,42824,35980,27159,20150,12008,8625,9903,1,1600,9001
11,สมุทรปราการ         ,Samut Prakarn       ,1102,บางบ่อ                        ,3,ภาคกลาง,2560,5831,6218,6334,6813,7400,7278,7710,9340,9096,9481,8614,6500,4483,3623,2228,2010,2531,0,163,1962
11,สมุทรปราการ         ,Samut Prakarn       ,1103,บางพลี                        ,3,ภาคกลาง,2560,15093,15737,14932,14841,17332,16787,19753,24497,22222,21441,19010,15152,10646,7611,4472,3229,3635,0,1046,1305
11,สมุทรปราการ         ,Samut Prakarn       ,1104,พระประแดง                     ,3,ภาคกลาง,2560,9068,10854,11765,12181,14059,13279,13027,14919,14905,15137,15239,13751,11228,9100,5739,3902,4219,1,975,2326
11,สมุทรปราการ         ,Samut Prakarn       ,1105,พระสมุทรเจดีย์                ,3,ภาคกลาง,2560,7467,8015,8138,8585,9873,10011,10786,12626,12164,12098,11068,9039,6331,4606,2639,1800,2078,0,359,808
11,สมุทรปราการ         ,Samut Prakarn       ,1106,บางเสาธง                      ,3,ภาคกลาง,2560,4631,4847,4608,4687,5368,5231,6124,7830,7515,7626,6325,4475,2704,1946,1157,864,1077,0,135,283
12,นนทบุรี             ,Nonthaburi          ,1201,เมืองนนทบุรี                  ,3,ภาคกลาง,2557,15573,16537,17944,22464,22354,21424,26523,29084,28700,29776,29053,24829,20079,14531,10971,9455,13425,4709,2451,0
12,นนทบุรี             ,Nonthaburi          ,1202,บางกรวย                       ,3,ภาคกลาง,2557,6122,6458,6552,7361,7231,7729,10239,11186,10537,10434,9890,8388,6479,4294,3082,2366,2579,732,374,0
12,นนทบุรี             ,Nonthaburi          ,1203,บางใหญ่                       ,3,ภาคกลาง,2557,8276,8189,7541,8587,7756,8279,12239,13710,13161,12146,10628,7663,5833,3677,2427,1880,1955,878,346,0
12,นนทบุรี             ,Nonthaburi          ,1204,บางบัวทอง                     ,3,ภาคกลาง,2557,13791,15637,15781,17821,16409,15432,19703,23096,25136,25586,22318,15967,11144,7277,4760,3637,3348,1780,714,0
12,นนทบุรี             ,Nonthaburi          ,1205,ไทรน้อย                       ,3,ภาคกลาง,2557,3540,3797,3561,4039,4202,4117,4842,5033,5270,5729,4832,3408,2749,1947,1379,1091,1164,314,215,0
12,นนทบุรี             ,Nonthaburi          ,1206,ปากเกร็ด                      ,3,ภาคกลาง,2557,12322,13193,14166,16151,15519,15171,18648,19747,19808,19477,18594,15715,12114,8225,5196,4082,4124,2806,1160,0
12,นนทบุรี             ,Nonthaburi          ,1201,เมืองนนทบุรี                  ,3,ภาคกลาง,2558,15573,16537,17944,22464,22354,21424,26523,29084,28700,29776,29053,24829,20079,14531,10971,9455,13425,4709,2451,0
12,นนทบุรี             ,Nonthaburi          ,1202,บางกรวย                       ,3,ภาคกลาง,2558,6122,6458,6552,7361,7231,7729,10239,11186,10537,10434,9890,8388,6479,4294,3082,2366,2579,732,374,0
12,นนทบุรี             ,Nonthaburi          ,1203,บางใหญ่                       ,3,ภาคกลาง,2558,8276,8189,7541,8587,7756,8279,12239,13710,13161,12146,10628,7663,5833,3677,2427,1880,1955,878,346,0
12,นนทบุรี             ,Nonthaburi          ,1204,บางบัวทอง                     ,3,ภาคกลาง,2558,13791,15637,15781,17821,16409,15432,19703,23096,25136,25586,22318,15967,11144,7277,4760,3637,3348,1780,714,0
12,นนทบุรี             ,Nonthaburi          ,1205,ไทรน้อย                       ,3,ภาคกลาง,2558,3540,3797,3561,4039,4202,4117,4842,5033,5270,5729,4832,3408,2749,1947,1379,1091,1164,314,215,0
12,นนทบุรี             ,Nonthaburi          ,1206,ปากเกร็ด                      ,3,ภาคกลาง,2558,12322,13193,14166,16151,15519,15171,18648,19747,19808,19477,18594,15715,12114,8225,5196,4082,4124,2806,1160,0
12,นนทบุรี             ,Nonthaburi          ,1201,เมืองนนทบุรี                  ,3,ภาคกลาง,2559,14742,16261,17294,20109,23125,21903,24912,29195,28460,29511,29596,26085,21662,16568,11628,9603,14562,0,1261,5449
12,นนทบุรี             ,Nonthaburi          ,1202,บางกรวย                       ,3,ภาคกลาง,2559,6398,6685,6875,7187,7786,8220,10344,11951,10955,10972,10316,9332,7305,5055,3440,2516,2948,0,292,681
