ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,ReasonForLoanKey,ReasonForLoan,ReasonForLoanEng,Year,FarmCulturePlantAnimalMainlyOwningLand,FarmCulturePlantAnimalMainlyRentingLand,FarmCultureFishingForestryHuntingAgri,EntrepreneursNonAgriBusiness,EmployeeTechnicianManager,EmployeeLabourInAgriForestryFishery,EmployeeLabourInLogisticTransportation,EmployeeClericalSalesServiceWorker,EmployeeWorkerProductionConstruction,EconomicallyInactive
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,100,จำนวนครัวเรือนที่เป็นหนี้สิน (ครัวเรือน),Total number of indebted household Average amount of debt,2558,9140.2,1737.1,0,20585.1,15433.4,3541.8,718.9,25481.6,39207.8,7443.1
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,101,  ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,  Purchase/hire purchase  house and/or land,2558,0,0,0,75509.6,164975.1,0,0,93891.7,75253.8,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,102,  ใช้ในการศึกษา,  Education,2558,13613.7,0,0,0,0,0,0,0,5989.1,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,103,  ใช้จ่ายอุปโภค บริโภคอื่นๆ ในครัวเรือน,  Household consumption,2558,53666.7,19565.9,0,56456.8,211503.9,11685.7,5205.2,99768.8,117047.9,46884.5
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,104,  ใช้ในการทำธุรกิจ,  Business,2558,1351.5,0,0,50698.2,10865.5,0,0,89.4,7094.6,3461.4
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,105,  ใช้ในการทำเกษตร,  Farming,2558,145070.9,99292.2,0,4764.2,13355.1,13312.3,0,4105,7979.8,19126.8
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,106,  หนี้อื่น ๆ,  Others ,2558,0,0,0,0,0,0,0,0,0,0
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,107,  หนี้ในระบบ, Formal sector,2558,209409.3,118858.1,0,186905.8,391245.3,22376.2,5205.2,196758.2,209176.2,67888.9
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,108,  หนี้นอกระบบ, Formal sector,2558,4293.6,0,0,523,9454.2,2621.9,0,1096.8,4189,1583.8
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,100,จำนวนครัวเรือนที่เป็นหนี้สิน (ครัวเรือน),Total number of indebted household Average amount of debt,2556,5811,804,1417,12818,8417,2079,671,11876,36581,472
