id,account_name,facebook_id,twitter_id,instagram_id,youtube_id
a-63a1d0b4509c11eb9aea8c8590014502,คนใฝ่รู้Studios,1.05927E+15,,,
a-63a1d0b4509c11eb9aea8c8590014533,PEACH EAT LAEK,1.99342E+15,,6550533470,UC8jdjGFODrFuR3e-HTmcsAw
a-63a1d6e0509c11eb9aea8c8590014502,ครูเชอรี่ English Bright เรียนอังกฤษในชีวิตประจำวัน,6.02595E+14,,,
a-63a1dafa509c11eb9aea8c8590014502,ครูพี่โอม Forward English,3.20909E+14,,,
a-63a1dafa509c11eb9aea8c85913112,ann.manas,,,4348994,UCHgB2-kEXCarPBW6CQHMtZg
a-63a1dafa509c11eb9aea8c85913113,BoomTharis,1.68328E+14,138735509,1730524,UClr_YfEd1-V79bTrZe7cqrw
a-63a1dafa509c11eb9aea8c85913114,Farose,1.16132E+14,,300739050,UC7PFNTtc31iN3hYxghppteA
a-63a1dafa509c11eb9aea8c85913115,อาตี๋ รีวิว,3.74837E+14,209361008,1573178235,UCBnM_yO05aMld_1tzvrSAAQ
a-63a1dafa509c11eb9aea8c85913116,ปลาทูหมาหน้าจิกไม่เกรงใจไข่,4.76741E+14,,,
a-63a1ded8509c11eb9aea8c8590014502,นักวิจัยไส้แตก - The Rich Scientist,4.64281E+14,,,
a-63a1e2a2509c11eb9aea8c8590014502,สมาคมคนรักประวัติศาสตร์,2.2855E+14,,,
a-63a1e662509c11eb9aea8c8590014502,A Cup of English,2.51069E+15,,19313127530,UCWwBHG7yiOGYEDuoGd5d53A
a-63a1ea22509c11eb9aea8c8590014502,AI บ้านบ้าน,1.07298E+14,,,UCIlmY13nFIVFtd1S1ocnn3Q
a-63a1edce509c11eb9aea8c8590014502,AI แบบเคลียร์ ตีแผ่ทุกไอเดียเบื้องหลังสมการ,2.45377E+15,,,
a-63a1f17a509c11eb9aea8c8590014502,Abdulthaitube - อับดุลย์เอ๊ย ถามไรตอบได้!,,,,UCgbFlQTcX5a37uUMv2EZl7A
a-63a1f526509c11eb9aea8c8590014502,Ads-PERTURE,4.11405E+14,,,
a-63a1f8dc509c11eb9aea8c8590014502,BetterPitch,2.70173E+14,,,
a-63a1fc7e509c11eb9aea8c8590014502,BigData RPG,3.72246E+14,,,UCfATMoOfg9Gfue32_p8QKgQ
a-63a20020509c11eb9aea8c8590014502,CHERRYMAN,3.26312E+14,,,UCwtWaH4XdhtfPjTSZLgSIwA
a-63a203cc509c11eb9aea8c8590014502,Cherry E Bright,6.02595E+14,,,UCNNtdvfZ8Yom0hAKB5GBdYA
a-63a20854509c11eb9aea8c8590014502,Chongko Channel,1.00772E+14,,,UCUXl5WrqT46jLhyE2oqdCjw
a-63a20e80509c11eb9aea8c8590014502,Data Café Thailand,7.3877E+14,,,
a-63a21240509c11eb9aea8c8590014502,Data Cube,6.1824E+14,,,
