year,Income,Remittance,Reward,Expense
2551,44160000000,13899650000,26496000000,3764350000
2552,46560000000,13284480000,27936000000,5339520000
2553,53600000000,14535160000,32160000000,6904840000
2554,64320000000,14636300000,38592000000,11091700000
2555,61092810000,14642170000,39649000000,6801640000
2556,73859000000,15082020000,41472000000,17304980000
2557,64156760000,15311870000,41664000000,7180890000
2558,66595000000,15432630000,42624000000,8538370000
2559,91881880359,25919030000,62640000000,3312850000
2560,113282159909.70,30947720000,77232000000,5093880000
2561,136443808871.30,40850440000,93024000000,2569368871
